size,min_photos,energy,k,metric,eps_f,eps_id,auto,acc,f1
"(64, 64)",50,0.8,59,l2,,,False,0.4,0.3291783948452518
"(64, 64)",50,0.8,59,l2,,0.01,False,0.0,0.0
"(64, 64)",50,0.8,59,l2,,0.1,False,0.0,0.0
"(64, 64)",50,0.8,59,l2,,1.0,False,0.0,0.0
"(64, 64)",50,0.8,59,l2,,4763.8828016446505,True,0.4,0.3291783948452518
"(64, 64)",50,0.8,59,cosine,,,False,0.3769230769230769,0.33813807486044595
"(64, 64)",50,0.8,59,cosine,,0.01,False,0.3769230769230769,0.33813807486044595
"(64, 64)",50,0.8,59,cosine,,0.1,False,0.3769230769230769,0.33813807486044595
"(64, 64)",50,0.8,59,cosine,,1.0,False,0.0,0.0
"(64, 64)",50,0.8,59,cosine,,0.007831100831755117,True,0.3769230769230769,0.33813807486044595
"(64, 64)",50,0.9,153,l2,,,False,0.4,0.35086861844123557
"(64, 64)",50,0.9,153,l2,,0.01,False,0.0,0.0
"(64, 64)",50,0.9,153,l2,,0.1,False,0.0,0.0
"(64, 64)",50,0.9,153,l2,,1.0,False,0.0,0.0
"(64, 64)",50,0.9,153,l2,,5056.017653020335,True,0.4,0.35086861844123557
"(64, 64)",50,0.9,153,cosine,,,False,0.3923076923076923,0.34847877215326256
"(64, 64)",50,0.9,153,cosine,,0.01,False,0.3923076923076923,0.34847877215326256
"(64, 64)",50,0.9,153,cosine,,0.1,False,0.3923076923076923,0.34847877215326256
"(64, 64)",50,0.9,153,cosine,,1.0,False,0.0,0.0
"(64, 64)",50,0.9,153,cosine,,0.007427624946076017,True,0.3923076923076923,0.34847877215326256
"(64, 64)",50,0.95,290,l2,,,False,0.37948717948717947,0.3353002410371135
"(64, 64)",50,0.95,290,l2,,0.01,False,0.0,0.0
"(64, 64)",50,0.95,290,l2,,0.1,False,0.0,0.0
"(64, 64)",50,0.95,290,l2,,1.0,False,0.0,0.0
"(64, 64)",50,0.95,290,l2,,5187.435203172581,True,0.37948717948717947,0.3353002410371135
"(64, 64)",50,0.95,290,cosine,,,False,0.39487179487179486,0.350175510686094
"(64, 64)",50,0.95,290,cosine,,0.01,False,0.39487179487179486,0.350175510686094
"(64, 64)",50,0.95,290,cosine,,0.1,False,0.39487179487179486,0.350175510686094
"(64, 64)",50,0.95,290,cosine,,1.0,False,0.0,0.0
"(64, 64)",50,0.95,290,cosine,,0.008231485377496656,True,0.39487179487179486,0.350175510686094
"(64, 64)",50,0.99,619,l2,,,False,0.36666666666666664,0.32203167227685064
"(64, 64)",50,0.99,619,l2,,0.01,False,0.0,0.0
"(64, 64)",50,0.99,619,l2,,0.1,False,0.0,0.0
"(64, 64)",50,0.99,619,l2,,1.0,False,0.0,0.0
"(64, 64)",50,0.99,619,l2,,5302.60139512806,True,0.36666666666666664,0.32203167227685064
"(64, 64)",50,0.99,619,cosine,,,False,0.37948717948717947,0.32599752101065615
"(64, 64)",50,0.99,619,cosine,,0.01,False,0.37948717948717947,0.32599752101065615
"(64, 64)",50,0.99,619,cosine,,0.1,False,0.37948717948717947,0.32599752101065615
"(64, 64)",50,0.99,619,cosine,,1.0,False,0.0,0.0
"(64, 64)",50,0.99,619,cosine,,0.008531705086312874,True,0.37948717948717947,0.32599752101065615
"(64, 64)",25,0.8,60,l2,,,False,0.19629057187017002,0.14012658884903434
"(64, 64)",25,0.8,60,l2,,0.01,False,0.0,0.0
"(64, 64)",25,0.8,60,l2,,0.1,False,0.0,0.0
"(64, 64)",25,0.8,60,l2,,1.0,False,0.0,0.0
"(64, 64)",25,0.8,60,l2,,4824.305794853177,True,0.19629057187017002,0.14012658884903434
"(64, 64)",25,0.8,60,cosine,,,False,0.21020092735703247,0.15139318997581594
"(64, 64)",25,0.8,60,cosine,,0.01,False,0.21020092735703247,0.15139318997581594
"(64, 64)",25,0.8,60,cosine,,0.1,False,0.21020092735703247,0.15139318997581594
"(64, 64)",25,0.8,60,cosine,,1.0,False,0.0,0.0
"(64, 64)",25,0.8,60,cosine,,0.016508106943819323,True,0.21020092735703247,0.15139318997581594
"(64, 64)",25,0.9,169,l2,,,False,0.18238021638330756,0.13067589920268124
"(64, 64)",25,0.9,169,l2,,0.01,False,0.0,0.0
"(64, 64)",25,0.9,169,l2,,0.1,False,0.0,0.0
"(64, 64)",25,0.9,169,l2,,1.0,False,0.0,0.0
"(64, 64)",25,0.9,169,l2,,5138.193726503687,True,0.18238021638330756,0.13067589920268124
"(64, 64)",25,0.9,169,cosine,,,False,0.20865533230293662,0.15384805698985288
"(64, 64)",25,0.9,169,cosine,,0.01,False,0.20865533230293662,0.15384805698985288
"(64, 64)",25,0.9,169,cosine,,0.1,False,0.20865533230293662,0.15384805698985288
"(64, 64)",25,0.9,169,cosine,,1.0,False,0.0,0.0
"(64, 64)",25,0.9,169,cosine,,0.013992456988427646,True,0.20865533230293662,0.15384805698985288
"(64, 64)",25,0.95,347,l2,,,False,0.18238021638330756,0.12794664891118923
"(64, 64)",25,0.95,347,l2,,0.01,False,0.0,0.0
"(64, 64)",25,0.95,347,l2,,0.1,False,0.0,0.0
"(64, 64)",25,0.95,347,l2,,1.0,False,0.0,0.0
"(64, 64)",25,0.95,347,l2,,5283.989414673522,True,0.18238021638330756,0.12794664891118923
"(64, 64)",25,0.95,347,cosine,,,False,0.20556414219474498,0.14715266960679307
"(64, 64)",25,0.95,347,cosine,,0.01,False,0.20556414219474498,0.14715266960679307
"(64, 64)",25,0.95,347,cosine,,0.1,False,0.20556414219474498,0.14715266960679307
"(64, 64)",25,0.95,347,cosine,,1.0,False,0.0,0.0
"(64, 64)",25,0.95,347,cosine,,0.013378357549933703,True,0.20556414219474498,0.14715266960679307
"(64, 64)",25,0.99,854,l2,,,False,0.18547140649149924,0.13064373135555027
"(64, 64)",25,0.99,854,l2,,0.01,False,0.0,0.0
"(64, 64)",25,0.99,854,l2,,0.1,False,0.0,0.0
